operator	date	aso	ka	n	h	s	notes
AGR	2019-05-03	active ASO 1	7.50E+07	0.188	-6.89E+04	-195	
AGR	2019-05-03	active ASO 2	5.59E+07	0.193	-6.92E+04	-197	
AGR	2019-05-03	control ASO 3	1.12E+08	0.173	-6.33E+04	-175	
AGR	2019-05-03	active ASO 5	2.23E+06	0.198	-1.24E+05	-388	bad curve fit
AGR	2019-05-03	active ASO 5	1.35E+06	0.181	-1.49E+05	-471	bad curve fit
AGR	2019-05-03	active ASO 5	1.82E+06	0.193	-1.31E+05	-412	bad curve fit
AGR	2019-05-03	control ASO 0	7.98E+08	0.17	-6.37E+04	-173	
AGR	2019-05-03	control ASO 0	2.09E+08	0.15	-7.74E+04	-222	
AGR	2019-05-03	active ASO 6	1.67E+08	0.155	-7.49E+04	-213	
AGR	2019-05-03	active ASO 6	1.13E+08	0.154	-7.79E+04	-225	
AGR	2019-05-03	active ASO 8	2.84E+07	0.187	-9.07E+04	-270	
AGR	2019-05-03	active ASO 8	3.29E+07	0.185	-9.08E+04	-270	
AGR	2019-05-03	active ASO 7	1.82E+08	0.146	-8.12E+04	-234	
AGR	2019-05-03	active ASO 7	5.29E+08	0.144	-8.34E+04	-240	
AGR	2019-05-03	control ASO 4	9.90E+07	0.129	-8.10E+04	-235	
AGR	2019-05-03	control ASO 4	6.85E+07	0.133	-8.58E+04	-252	
AGR	2018-04-04	active ASO 1	6.05E+07	0.179	-7.06E+04	-201	
AGR	2018-04-04	active ASO 2	4.03E+07	0.183	-7.52E+04	-217	
AGR	2018-04-04	control ASO 3	6.99E+07	0.181	-6.14E+04	-170	
AGR	2018-04-04	active ASO 6	1.84E+08	0.12	-9.04E+04	-265	
AGR	2018-04-04	active ASO 8	3.10E+07	0.173	-8.75E+04	-259	
AGR	2018-04-04	active ASO 7	1.91E+08	0.144	-8.37E+04	-243	
AGR	2018-04-04	control ASO 4	1.38E+08	0.126	-7.17E+04	-203	
EVM	2017-04-07	control ASO 3	3.32E+07	0.341	-6.36E+04	-179	
EVM	2017-04-07	control ASO 0	1.53E+08	0.323	-6.28E+04	-173	
EVM	2017-04-07	active ASO 2	2.36E+07	0.423	-6.78E+04	-194	
EVM	2017-04-07	active ASO 1	4.81E+07	0.324	-6.96E+04	-198	